down | strategy | tol | ncall | sigma_tot
0.95 | 0.00 | 0.01 | 500 | 110.302
0.95 | 0.00 | 0.01 | 600 | 110.302
0.95 | 0.00 | 0.01 | 700 | 110.302
0.95 | 0.00 | 0.01 | 800 | 110.302
0.95 | 2.00 | 5.0 | 300 | 110.346
0.95 | 2.00 | 1.0 | 300 | 110.321
0.95 | 2.00 | 0.1 | 300 | 110.312
0.95 | 2.00 | 5.0 | 400 | 110.346
0.95 | 2.00 | 1.0 | 400 | 110.321
0.95 | 2.00 | 0.1 | 400 | 110.305
0.95 | 2.00 | 0.01 | 400 | 110.301
0.95 | 2.00 | 5.0 | 500 | 110.346
0.95 | 2.00 | 1.0 | 500 | 110.321
0.95 | 2.00 | 0.1 | 500 | 110.305
0.95 | 2.00 | 0.01 | 500 | 110.301
0.95 | 2.00 | 5.0 | 600 | 110.346
0.95 | 2.00 | 1.0 | 600 | 110.321
0.95 | 2.00 | 0.1 | 600 | 110.305
0.95 | 2.00 | 0.01 | 600 | 110.301
0.95 | 2.00 | 5.0 | 700 | 110.346
0.95 | 2.00 | 1.0 | 700 | 110.321
0.95 | 2.00 | 0.1 | 700 | 110.305
0.95 | 2.00 | 0.01 | 700 | 110.301
0.95 | 2.00 | 5.0 | 800 | 110.346
0.95 | 2.00 | 1.0 | 800 | 110.321
0.95 | 2.00 | 0.1 | 800 | 110.305
0.95 | 2.00 | 0.01 | 800 | 110.301
0.96 | 0.00 | 0.01 | 800 | 110.360
0.96 | 2.00 | 5.0 | 300 | 110.437
0.96 | 2.00 | 1.0 | 300 | 110.441
0.96 | 2.00 | 5.0 | 400 | 110.437
0.96 | 2.00 | 1.0 | 400 | 110.409
0.96 | 2.00 | 5.0 | 500 | 110.437
0.96 | 2.00 | 1.0 | 500 | 110.390
0.96 | 2.00 | 5.0 | 600 | 110.437
0.96 | 2.00 | 1.0 | 600 | 110.384
0.96 | 2.00 | 0.1 | 600 | 110.375
0.96 | 2.00 | 5.0 | 700 | 110.437
0.96 | 2.00 | 1.0 | 700 | 110.384
0.96 | 2.00 | 0.1 | 700 | 110.368
0.96 | 2.00 | 5.0 | 800 | 110.437
0.96 | 2.00 | 1.0 | 800 | 110.384
0.96 | 2.00 | 0.1 | 800 | 110.361
0.97 | 0.00 | 0.01 | 800 | 110.503
0.97 | 2.00 | 5.0 | 300 | 110.549
0.97 | 2.00 | 1.0 | 300 | 110.557
0.97 | 2.00 | 5.0 | 400 | 110.544
0.97 | 2.00 | 1.0 | 400 | 110.499
0.97 | 2.00 | 0.1 | 400 | 110.501
0.97 | 2.00 | 5.0 | 500 | 110.544
0.97 | 2.00 | 1.0 | 500 | 110.521
0.97 | 2.00 | 0.1 | 500 | 110.504
0.97 | 2.00 | 5.0 | 600 | 110.544
0.97 | 2.00 | 1.0 | 600 | 110.506
0.97 | 2.00 | 0.1 | 600 | 110.503
0.97 | 2.00 | 0.01 | 600 | 110.503
0.97 | 2.00 | 5.0 | 700 | 110.544
0.97 | 2.00 | 1.0 | 700 | 110.506
0.97 | 2.00 | 0.1 | 700 | 110.504
0.97 | 2.00 | 0.01 | 700 | 110.503
0.97 | 2.00 | 5.0 | 800 | 110.544
0.97 | 2.00 | 1.0 | 800 | 110.506
0.97 | 2.00 | 0.1 | 800 | 110.504
0.97 | 2.00 | 0.01 | 800 | 110.503
0.98 | 0.00 | 0.1 | 500 | 110.649
0.98 | 0.00 | 0.1 | 600 | 110.649
0.98 | 0.00 | 0.01 | 600 | 110.650
0.98 | 0.00 | 0.1 | 700 | 110.649
0.98 | 0.00 | 0.01 | 700 | 110.651
0.98 | 0.00 | 0.1 | 800 | 110.649
0.98 | 0.00 | 0.01 | 800 | 110.651
0.98 | 2.00 | 5.0 | 300 | 110.682
0.98 | 2.00 | 1.0 | 300 | 110.658
0.98 | 2.00 | 5.0 | 400 | 110.669
0.98 | 2.00 | 1.0 | 400 | 110.655
0.98 | 2.00 | 5.0 | 500 | 110.656
0.98 | 2.00 | 1.0 | 500 | 110.652
0.98 | 2.00 | 0.1 | 500 | 110.652
0.98 | 2.00 | 5.0 | 600 | 110.656
0.98 | 2.00 | 1.0 | 600 | 110.652
0.98 | 2.00 | 0.1 | 600 | 110.652
0.98 | 2.00 | 0.01 | 600 | 110.651
0.98 | 2.00 | 5.0 | 700 | 110.656
0.98 | 2.00 | 1.0 | 700 | 110.652
0.98 | 2.00 | 0.1 | 700 | 110.652
0.98 | 2.00 | 0.01 | 700 | 110.651
0.98 | 2.00 | 5.0 | 800 | 110.656
0.98 | 2.00 | 1.0 | 800 | 110.652
0.98 | 2.00 | 0.1 | 800 | 110.652
0.98 | 2.00 | 0.01 | 800 | 110.651
0.99 | 0.00 | 5.0 | 300 | 110.983
0.99 | 0.00 | 5.0 | 400 | 110.983
0.99 | 0.00 | 5.0 | 500 | 110.983
0.99 | 0.00 | 5.0 | 600 | 110.983
0.99 | 0.00 | 5.0 | 700 | 110.983
0.99 | 0.00 | 5.0 | 800 | 110.983
0.99 | 2.00 | 5.0 | 300 | 110.984
0.99 | 2.00 | 1.0 | 300 | 110.984
0.99 | 2.00 | 0.1 | 300 | 110.984
0.99 | 2.00 | 5.0 | 400 | 110.984
0.99 | 2.00 | 1.0 | 400 | 110.984
0.99 | 2.00 | 0.1 | 400 | 110.984
0.99 | 2.00 | 5.0 | 500 | 110.984
0.99 | 2.00 | 1.0 | 500 | 110.984
0.99 | 2.00 | 0.1 | 500 | 110.984
0.99 | 2.00 | 5.0 | 600 | 110.984
0.99 | 2.00 | 1.0 | 600 | 110.984
0.99 | 2.00 | 0.1 | 600 | 110.984
0.99 | 2.00 | 5.0 | 700 | 110.984
0.99 | 2.00 | 1.0 | 700 | 110.984
0.99 | 2.00 | 0.1 | 700 | 110.984
0.99 | 2.00 | 5.0 | 800 | 110.984
0.99 | 2.00 | 1.0 | 800 | 110.984
0.99 | 2.00 | 0.1 | 800 | 110.984
0.99 | 2.00 | 0.01 | 800 | 110.800
